"","year","depth.mean","ph","NO3N","NH4N","dic","TDP","TDN"
"1",1981,3.88333333333333,7.46649999999999,0.875,NA,NA,10.6083333333333,NA
"2",1982,4.21145833333333,7.24220833333333,10.4699074074074,82.3444444444443,NA,11.75,91.2250000000001
"3",1983,3.85729166666667,7.23419444444444,42.1374999999999,58.5072916666667,NA,11,98.2697916666667
"4",1984,3.83055555555556,7.28622916666666,42.9729166666667,93.7541666666667,NA,18.2083333333333,136.727083333333
"5",1985,3.82152777777778,7.21863194444444,34.1840277777778,81.8333333333333,9.79,17.7708333333333,116.017361111111
"6",1986,3.8587962962963,7.38479166666667,42.0875000000001,90.386111111111,10.9870833333333,26.6944444444444,132.473611111111
"7",1987,3.89583333333333,7.53896825396825,51.4880952380951,139.482142857143,11.7750337301587,18.8333333333333,190.970238095238
"8",1988,3.88293650793651,7.45435515873016,42.5337301587301,93.0396825396825,11.7991170634921,12.2787698412698,135.573412698413
"9",1989,3.71759259259259,7.52076388888889,52.6111111111112,63.1597222222221,12.0731944444444,11.7777777777778,115.770833333333
"10",1990,3.67534722222222,7.60069444444445,27.6597222222222,78.8402777777778,12.6325,13.1111111111111,106.5
"11",1991,3.56481481481481,7.54345486111111,18.2118055555556,83.2482638888889,12.1264583333333,12.7899305555555,101.460069444445
"12",1992,3.70543981481481,7.50383680555556,47.6336805555555,79.7847222222224,12.1152430555556,10.9583333333333,127.418402777778
"13",1993,3.80729166666667,7.39861111111111,37.0694444444444,55.8055555555555,12.4148611111111,10.8819444444444,92.875
"14",1994,3.640625,7.61576388888889,19.5888888888889,138.081944444444,12.6761805555555,19.0486111111111,157.670833333333
"15",1995,3.59375,7.55402777777778,28.1944444444444,87.5208333333333,12.918125,14.7361111111111,115.715277777778
"16",1996,3.58333333333333,7.55972222222222,53.8888888888889,179.041666666666,12.8554166666667,22.4861111111111,232.930555555555
"17",1997,3.60243055555555,7.75939236111111,29.0347222222222,79.4305555555557,11.9807986111111,14.1892361111111,108.465277777778
"18",1998,3.6412037037037,7.71520833333333,20.3125,122.4375,12.8000694444444,20.1944444444444,142.75
"19",1999,3.39930555555555,7.70965277777778,20.3125,98.6458333333334,12.471875,11.9375,118.958333333333
"20",2000,3.859375,7.47387152777778,17.5607638888889,151.055555555555,13.0345138888889,22.5121527777778,168.616319444444
"21",2001,3.68489583333333,7.48947916666667,32.2552083333333,122.005208333333,12.4772916666667,20.671875,154.260416666667
"22",2002,3.73958333333333,7.48703125,28.5885416666667,98.0031250000001,11.7214062499999,12.875,126.591666666667
"23",2003,3.56597222222222,7.58097222222222,35.0590277777778,108.248263888889,12.46875,16.953125,143.307291666667
"24",2004,3.81203703703703,7.58784722222222,37.2569444444445,149.034722222222,11.8861805555556,22.6597222222222,186.291666666667
"25",2005,3.55208333333333,7.57369791666667,32.8607638888889,134,12.7986111111111,16.1788194444444,166.860763888889
"26",2006,3.84027777777778,7.58659722222222,27.8958333333333,89.7513888888889,12.0404861111111,8.67361111111111,117.647222222222
"27",2007,3.80729166666667,7.59944444444444,32.6388888888889,104.091666666667,12.3204166666667,12.8125,136.730555555556
"28",2008,3.75347222222222,7.50111111111111,79.923611111111,46.6736111111111,11.9852083333334,13.9583333333333,126.597222222222
"29",2009,3.46701388888889,7.725,61.3819444444445,39.2847222222222,12.2177083333333,9.18055555555556,100.666666666667
"30",2010,3.59548611111111,7.62282986111111,31.9513888888889,100.246527777778,11.6651736111111,18.3819444444444,132.197916666667
"31",2011,3.75231481481481,7.52658333333333,70.1541666666666,110.1375,11.7501111111111,17.1638888888889,180.291666666666
"32",2012,3.72222222222222,7.53211805555556,34.2482638888889,109.182291666667,12.2258506944444,10.1927083333333,143.430555555555
"33",2013,3.71180555555555,7.41996527777778,38.8333333333334,80.6319444444444,11.8344444444444,9.80902777777778,119.465277777778
"34",2014,3.76835317460317,7.42541666666667,39.5763888888889,120.940972222222,11.3642013888889,16.2916666666667,160.517361111111
"35",2015,3.74861111111111,7.51659722222222,38.6736111111111,136.805555555555,11.0993055555556,17.4583333333333,175.479166666667
"36",2016,3.49305555555555,7.50611111111111,43.2708333333333,110.625,10.9761805555555,19.9652777777778,153.895833333333
"37",2017,3.71527777777778,7.39305555555555,42.6597222222222,158.145833333333,11.3198611111111,38.875,200.805555555556
"38",2018,3.63541666666667,7.47024305555555,41.5972222222222,189.913194444445,11.9175694444444,31.7708333333333,231.510416666667
"39",2019,3.65885416666667,7.36638888888889,51.9444444444445,77.0902777777777,10.720625,16.4635416666667,129.034722222222
"40",2020,3.62847222222222,7.41864583333333,35.1770833333333,29.6631944444444,10.5085763888889,11.8333333333333,64.8402777777777
"41",2021,3.76041666666667,7.4678125,NA,NA,NA,NA,NA
