"","year","depth","chlor"
"1",1981,3.85,32.4128571428571
"2",1982,3.76959325396825,13.6598392857143
"3",1983,3.75357142857143,9.05229166666667
"4",1984,3.92916666666666,11.9523660714286
"5",1985,3.75912698412698,7.90093253968254
"6",1986,3.87579365079365,7.7167857142857
"7",1987,3.75,8.04588293650793
"8",1988,3.74285714285714,5.37884920634921
"9",1989,3.93333333333333,7.28236111111111
"10",1990,3.79972222222222,10.3785833333333
"11",1991,3.82271825396825,10.626378968254
"12",1992,3.87420634920635,14.1002579365079
"13",1993,3.82222222222222,14.8581944444445
"14",1994,3.87222222222222,23.8025
"15",1995,3.72430555555556,15.7301388888889
"16",1996,3.62222222222222,25.1654166666667
"17",1997,3.76041666666667,12.1392857142857
"18",1998,3.76,42.9902499999999
"19",1999,3.66111111111111,34.8275
"20",2000,3.89384920634921,13.7908234126984
"21",2001,3.8,25.5968055555555
"22",2002,3.72222222222222,15.8534722222222
"23",2003,3.41349206349206,16.0798214285714
"24",2004,3.7797619047619,11.013492063492
"25",2005,3.86210317460317,8.91676587301585
"26",2006,3.70833333333333,13.9205555555555
"27",2007,3.76428571428572,12.7039285714286
"28",2008,3.43555555555556,4.92227777777778
"29",2009,3.85801587301587,8.97730952380951
"30",2010,3.80575396825397,9.78829365079365
"31",2011,3.78194444444444,12.0641666666667
"32",2012,3.69107142857143,14.8783531746032
"33",2013,3.5,14.0131944444444
"34",2014,3.72182539682539,17.4385714285714
"35",2015,3.90277777777778,19.95625
"36",2016,3.75337301587302,15.6144246031746
"37",2017,3.80555555555555,13.0895833333333
"38",2018,3.40763888888889,34.5809722222222
